"DateTime","Players","Players Trend","Twitch Viewers"
"2019-11-26 11:40:00",416200,401758.8749999999,0
"2019-11-26 11:50:00",427777,401915.30971258663,34919
"2019-11-26 12:00:00",437781,402085.9349672393,36844
"2019-11-26 12:10:00",449177,402279.13144202175,37725
"2019-11-26 12:20:00",461806,402495.09909563913,37470
"2019-11-26 12:30:00",472693,402730.05811584624,36384
"2019-11-26 12:40:00",486185,402997.47188399645,35615
"2019-11-26 12:50:00",499446,403273.1458539809,35587
"2019-11-26 13:00:00",510577,403571.0804358001,39171
"2019-11-26 13:10:00",524041,403903.10481224547,40874
"2019-11-26 13:20:00",537888,404249.63370573934,41290
"2019-11-26 13:30:00",546596,404603.74812795955,42322
"2019-11-26 13:40:00",557144,404986.87010495295,41922
"2019-11-26 13:50:00",566860,405385.52730190195,35851
"2019-11-26 14:00:00",572916,405796.21144284774,34645
"2019-11-26 14:10:00",577657,406208.3865488382,37753
"2019-11-26 14:20:00",580790,406626.4628976467,38664
"2019-11-26 14:30:00",580371,407052.8847593877,38555
"2019-11-26 14:40:00",579597,407488.3753122482,37677
"2019-11-26 14:50:00",576956,407912.4827552031,38327
"2019-11-26 15:00:00",571576,408330.2295442211,38967
"2019-11-26 15:10:00",565336,408750.40708872676,41316
"2019-11-26 15:20:00",565715,409173.38933296,41323
"2019-11-26 15:30:00",564328,409579.1140705871,42612
"2019-11-26 15:40:00",565312,409979.8313718205,42441
"2019-11-26 15:50:00",566730,410354.7297019137,38455
"2019-11-26 16:00:00",566456,410713.10026887653,37631
"2019-11-26 16:10:00",566798,411067.46946528874,41027
"2019-11-26 16:20:00",570335,411419.39240157563,46949
"2019-11-26 16:30:00",572404,411764.8253331132,49845
"2019-11-26 16:40:00",575220,412111.7848782997,47424
"2019-11-26 16:50:00",578394,412442.35664436745,45914
"2019-11-26 17:00:00",580333,412743.0683745283,45760
"2019-11-26 17:10:00",586016,413063.32092539704,44515
"2019-11-26 17:20:00",588544,413383.3785720186,46908
"2019-11-26 17:30:00",591581,413700.0649983483,102411
"2019-11-26 17:40:00",594583,414040.31987320585,103869
"2019-11-26 17:50:00",596910,414383.880314016,102851
"2019-11-26 18:00:00",596893,414722.0889298664,104664
"2019-11-26 18:10:00",594456,415064.34073339956,111562
"2019-11-26 18:20:00",591321,415435.2271265924,110274
"2019-11-26 18:30:00",590454,415845.62147812545,110187
"2019-11-26 18:40:00",590054,416268.66426899505,115891
"2019-11-26 18:50:00",588233,416687.59558293544,113734
"2019-11-26 19:00:00",584102,417116.5554358001,112756
"2019-11-26 19:10:00",579427,417556.9003030695,44134
"2019-11-26 19:20:00",575788,417961.31159458484,41827
"2019-11-26 19:30:00",569777,418345.682083471,42987
"2019-11-26 19:40:00",561531,418724.9865316461,45397
"2019-11-26 19:50:00",551816,419085.70536504796,50011
"2019-11-26 20:00:00",538396,419418.6173794511,50859
"2019-11-26 20:10:00",523336,419707.4746766284,50308
"2019-11-26 20:20:00",511088,419970.08431584307,51316
"2019-11-26 20:30:00",497983,420198.39407370717,53917
"2019-11-26 20:40:00",485669,420420.3807685378,47870
"2019-11-26 20:50:00",471809,420603.46717046597,50091
"2019-11-26 21:00:00",457739,420755.7550445118,54015
"2019-11-26 21:10:00",443340,420891.04722060857,52665
"2019-11-26 21:20:00",428155,420984.6013785536,52218
"2019-11-26 21:30:00",359142,421005.7863313514,50620
"2019-11-26 21:40:00",351201,421374.61203302804,51852
"2019-11-26 21:50:00",349356,421694.88784541294,46845
"2019-11-26 22:00:00",364669,421952.7853593455,45771
"2019-11-26 22:10:00",379249,422038.06790792604,49211
"2019-11-26 22:20:00",376235,421937.96297457523,53256
"2019-11-26 22:30:00",375061,421807.4883372879,35678
"2019-11-26 22:40:00",371303,421623.71418078936,35961
"2019-11-26 22:50:00",361536,421390.3712445832,38230
"2019-11-26 23:00:00",352064,421149.2894074108,38215
"2019-11-26 23:10:00",341379,420900.2667830794,35090
"2019-11-26 23:20:00",330472,420626.9193360113,33757
"2019-11-26 23:30:00",320085,420347.3433404913,31485
"2019-11-26 23:40:00",304842,420074.38315001375,32790
"2019-11-26 23:50:00",296972,419847.6031125279,28955
"2019-11-27 00:00:00",290686,419490.7629104726,21796
"2019-11-27 00:10:00",283572,419116.1121601494,21350
"2019-11-27 00:20:00",276722,418760.73911581485,20175
"2019-11-27 00:30:00",274387,418430.4731031825,17995
"2019-11-27 00:40:00",270748,418118.8780719482,18350
"2019-11-27 00:50:00",267931,417832.1359679551,19992
"2019-11-27 01:00:00",266601,417553.4634110904,21148
"2019-11-27 01:10:00",264922,417281.52033728966,22864
"2019-11-27 01:20:00",262928,417010.7100702115,23584
"2019-11-27 01:30:00",262343,416745.8014712823,23585
"2019-11-27 01:40:00",260445,416458.847189996,24475
"2019-11-27 01:50:00",260418,416182.15185808355,23046
"2019-11-27 02:00:00",260000,415902.933409658,20723
"2019-11-27 02:10:00",260614,415633.52670410764,22804
"2019-11-27 02:20:00",263070,415365.14924597176,22845
"2019-11-27 02:30:00",264504,415099.27036669984,21868
"2019-11-27 02:40:00",265339,414831.51357758814,22612
"2019-11-27 02:50:00",266114,414568.3328144526,22129
"2019-11-27 03:00:00",266011,414304.26271619945,46615
"2019-11-27 03:10:00",264551,414041.48262622225,45273
"2019-11-27 03:20:00",263321,413777.7988656913,44807
"2019-11-27 03:30:00",262757,413511.2169295783,46109
"2019-11-27 03:40:00",259815,413241.05390148464,43720
"2019-11-27 03:50:00",259894,412979.25251309643,44861
"2019-11-27 04:00:00",261309,412725.7376252616,45750
"2019-11-27 04:10:00",264273,412473.4219573836,42180
"2019-11-27 04:20:00",270880,412227.81544257625,40518
"2019-11-27 04:30:00",274776,411972.449506727,37620
"2019-11-27 04:40:00",277673,411725.18101675,38495
"2019-11-27 04:50:00",280160,411480.28621254856,37069
"2019-11-27 05:00:00",279844,411234.36206384597,38136
"2019-11-27 05:10:00",278255,410988.80696685787,37554
"2019-11-27 05:20:00",276360,410735.29801123985,30816
"2019-11-27 05:30:00",275225,410489.5516371177,17489
"2019-11-27 05:40:00",272243,410245.347864189,16742
"2019-11-27 05:50:00",268559,410004.21925849165,16818
"2019-11-27 06:00:00",267494,409774.26637607615,16050
"2019-11-27 06:10:00",265171,409543.94194412977,17237
"2019-11-27 06:20:00",264567,409324.2880851466,16235
"2019-11-27 06:30:00",265459,409119.1182428319,17578
"2019-11-27 06:40:00",265969,408916.0196996355,16616
"2019-11-27 06:50:00",267781,408714.5755314239,17029
"2019-11-27 07:00:00",268822,408517.1890432686,14234
"2019-11-27 07:10:00",270812,408323.77697474137,13731
"2019-11-27 07:20:00",274664,408142.786666847,15161
"2019-11-27 07:30:00",278095,407971.2042919281,14221
"2019-11-27 07:40:00",281929,407807.730634801,14162
"2019-11-27 07:50:00",287676,407646.9661868321,13205
"2019-11-27 08:00:00",292449,407482.049702743,12941
"2019-11-27 08:10:00",297484,407325.1977542617,12822
"2019-11-27 08:20:00",304010,407178.92719491234,13534
"2019-11-27 08:30:00",308920,407035.6379803986,12794
"2019-11-27 08:40:00",313691,406899.55253852677,13170
"2019-11-27 08:50:00",318926,406769.8635174059,13143
"2019-11-27 09:00:00",323055,406637.44642980606,13128
"2019-11-27 09:10:00",326198,406505.81363794225,13600
"2019-11-27 09:20:00",331102,406379.222787533,13726
"2019-11-27 09:30:00",334229,406254.6215011862,12937
"2019-11-27 09:40:00",337788,406132.5723075652,14100
"2019-11-27 09:50:00",342243,406018.0848791226,14560
"2019-11-27 10:00:00",345266,405899.54534329916,14919
"2019-11-27 10:10:00",350999,405788.4512937483,14557
"2019-11-27 10:20:00",357554,405680.91416439984,15602
"2019-11-27 10:30:00",364975,405593.0534465174,15390
"2019-11-27 10:40:00",371053,405505.7506458162,16223
"2019-11-27 10:50:00",379754,405433.175230072,16117
"2019-11-27 11:00:00",388096,405366.6888527776,17488
"2019-11-27 11:10:00",399670,405313.22082555876,17190
"2019-11-27 11:20:00",412873,405246.59978737385,18882
"2019-11-27 11:30:00",423292,405174.96653727547,20606
"2019-11-27 11:40:00",435859,405111.4091096794,23092
"2019-11-27 11:50:00",448017,405045.4122412178,24315
"2019-11-27 12:00:00",459721,404974.5368902102,31904
"2019-11-27 12:10:00",472691,404906.8904925118,29704
"2019-11-27 12:20:00",486536,404838.9607146789,30784
"2019-11-27 12:30:00",500280,404769.53867966076,29455
"2019-11-27 12:40:00",513142,404690.6490405792,31869
"2019-11-27 12:50:00",528068,404606.155358716,33980
"2019-11-27 13:00:00",542291,404517.40620526375,36556
"2019-11-27 13:10:00",555952,404421.692875234,37724
"2019-11-27 13:20:00",569664,404322.8379101971,34041
"2019-11-27 13:30:00",581124,404232.21306849463,33508
"2019-11-27 13:40:00",592582,404143.9715546195,38119
"2019-11-27 13:50:00",603197,404043.66354889335,39512
"2019-11-27 14:00:00",608803,403933.41524887126,42780
"2019-11-27 14:10:00",613967,403820.924884374,42200
"2019-11-27 14:20:00",618379,403708.9151662812,42693
"2019-11-27 14:30:00",619410,403598.3728664244,45526
"2019-11-27 14:40:00",617357,403484.067765114,47904
"2019-11-27 14:50:00",614561,403377.819726627,48218
"2019-11-27 15:00:00",610449,403280.4264122895,45611
"2019-11-27 15:10:00",604622,403186.62707851565,47436
"2019-11-27 15:20:00",602709,403097.7412936351,49742
"2019-11-27 15:30:00",600501,403015.4293511177,48262
"2019-11-27 15:40:00",597529,402939.6895165731,50347
"2019-11-27 15:50:00",596592,402858.0549636604,49844
"2019-11-27 16:00:00",595724,402791.6242429248,58761
"2019-11-27 16:10:00",595249,402732.8877119811,56862
"2019-11-27 16:20:00",597575,402661.7875509306,59351
"2019-11-27 16:30:00",599513,402597.56636108365,57864
"2019-11-27 16:40:00",599485,402525.2948188526,56402
"2019-11-27 16:50:00",597979,402468.1327772272,62548
"2019-11-27 17:00:00",602042,402442.3799691664,59038
"2019-11-27 17:10:00",607366,402385.30879721406,59021
"2019-11-27 17:20:00",608987,402291.85802775034,60380
"2019-11-27 17:30:00",615142,402233.94417602697,62559
"2019-11-27 17:40:00",618340,402168.06850154174,65460
"2019-11-27 17:50:00",619907,402116.54881758615,64708
"2019-11-27 18:00:00",620886,402089.3191691443,67584
"2019-11-27 18:10:00",623238,402068.3388943948,72950
"2019-11-27 18:20:00",626211,402038.69606871484,74324
"2019-11-27 18:30:00",627368,401986.82631318126,75227
"2019-11-27 18:40:00",626685,401942.1521032926,71602
"2019-11-27 18:50:00",627047,401901.3106417245,73310
"2019-11-27 19:00:00",625391,401851.37162069156,72280
"2019-11-27 19:10:00",615909,401788.9494824359,75240
"2019-11-27 19:20:00",610197,401755.7746187094,70681
"2019-11-27 19:30:00",604700,401733.6747604889,71542
"2019-11-27 19:40:00",595141,401717.84336802113,72449
"2019-11-27 19:50:00",583259,401715.43198023346,73304
"2019-11-27 20:00:00",565445,401724.07715972915,71409
"2019-11-27 20:10:00",548268,401788.93129886576,75017
"2019-11-27 20:20:00",532801,401875.8168635062,68557
"2019-11-27 20:30:00",520608,401980.95102411625,66154
"2019-11-27 20:40:00",504478,402073.82377353817,59255
"2019-11-27 20:50:00",488058,402169.8062025107,60612
"2019-11-27 21:00:00",473577,402273.20491272985,63695
"2019-11-27 21:10:00",455104,402369.210714679,65222
"2019-11-27 21:20:00",439172,402471.8248265609,64182
"2019-11-27 21:30:00",424608,402652.33453777106,57215
"2019-11-27 21:40:00",409655,402821.10958319565,58941
"2019-11-27 21:50:00",396086,402982.93174622825,56532
"2019-11-27 22:00:00",382814,403108.0934093161,53906
"2019-11-27 22:10:00",369392,403203.0153273317,59073
"2019-11-27 22:20:00",361870,403290.18683239724,59293
"2019-11-27 22:30:00",353029,403337.48280751007,57013
"2019-11-27 22:40:00",343060,403364.76755037985,55455
"2019-11-27 22:50:00",333477,403379.6850704767,57349
"2019-11-27 23:00:00",324342,403385.84303077846,56152
"2019-11-27 23:10:00",311494,403379.38633548055,49475
"2019-11-27 23:20:00",301142,403378.67577909917,50485
"2019-11-27 23:30:00",294040,403391.56742098875,50445
"2019-11-27 23:40:00",287116,403410.56888696173,51803
"2019-11-27 23:50:00",259964,403393.5942352164,50363
"2019-11-28 00:00:00",251922,403486.34723598725,48331
"2019-11-28 00:10:00",248782,403601.75692379696,32153
"2019-11-28 00:20:00",246139,403702.917960577,31920
"2019-11-28 00:30:00",247219,403798.33825432224,34241
"2019-11-28 00:40:00",247846,403876.0430431671,31396
"2019-11-28 00:50:00",246456,403933.2593602027,29572
"2019-11-28 01:00:00",246401,403980.93156040093,30064
"2019-11-28 01:10:00",245172,404018.1850291818,30626
"2019-11-28 01:20:00",244161,404046.5132556988,32024
"2019-11-28 01:30:00",240374,404064.49582920386,31976
"2019-11-28 01:40:00",240055,404102.97033641674,30480
"2019-11-28 01:50:00",239660,404137.90411298326,27937
"2019-11-28 02:00:00",240657,404180.019154003,28585
"2019-11-28 02:10:00",241020,404219.47334407014,27078
"2019-11-28 02:20:00",243614,404258.27474947704,27094
"2019-11-28 02:30:00",244587,404286.65500770847,25885
"2019-11-28 02:40:00",245990,404317.7815631539,28641
"2019-11-28 02:50:00",246605,404352.1207466139,25325
"2019-11-28 03:00:00",246898,404384.7210866094,25534
"2019-11-28 03:10:00",245451,404415.9884855743,24439
"2019-11-28 03:20:00",243813,404445.53973956616,23388
"2019-11-28 03:30:00",243102,404480.8731141945,23067
"2019-11-28 03:40:00",241443,404518.92408600374,22339
"2019-11-28 03:50:00",242588,404565.671690893,20959
"2019-11-28 04:00:00",243698,404563.6984362956,22921
"2019-11-28 04:10:00",246665,404561.2429454356,22732
"2019-11-28 04:20:00",251065,404558.4224410858,24860
"2019-11-28 04:30:00",255764,404560.5891146349,24403
"2019-11-28 04:40:00",258613,404559.74944939977,24893
"2019-11-28 04:50:00",260947,404563.6795025327,25498
"2019-11-28 05:00:00",260903,404567.6438167603,25545
"2019-11-28 05:10:00",258296,404573.49663445656,26272
"2019-11-28 05:20:00",257791,404595.1391710715,26674
"2019-11-28 05:30:00",257340,404621.73215367255,26816
"2019-11-28 05:40:00",255403,404650.80461265286,26807
"2019-11-28 05:50:00",253661,404691.00178256806,24995
"2019-11-28 06:00:00",252876,404739.4053311861,23511
"2019-11-28 06:10:00",252349,404796.22609707084,24122
"2019-11-28 06:20:00",253927,404864.74485877116,20838
"2019-11-28 06:30:00",255054,404935.6918979188,37199
"2019-11-28 06:40:00",255524,405009.8147574607,40556
"2019-11-28 06:50:00",257810,405092.9130189407,38832
"2019-11-28 07:00:00",259161,405182.16362460086,39010
"2019-11-28 07:10:00",262541,405278.1968257902,32953
