"DateTime","Players","Players Trend","Twitch Viewers"
"2019-11-26 11:50:00",80771,87987.90277777778,4047
"2019-11-26 12:00:00",82463,88055.7657145613,4114
"2019-11-26 12:10:00",84221,88125.67482363316,4249
"2019-11-26 12:20:00",85824,88197.77899718916,3981
"2019-11-26 12:30:00",87653,88272.66450617286,4037
"2019-11-26 12:40:00",89586,88351.30038166889,4317
"2019-11-26 12:50:00",91438,88431.56183271919,4285
"2019-11-26 13:00:00",93118,88516.50231481482,4197
"2019-11-26 13:10:00",94962,88604.2879739859,3992
"2019-11-26 13:20:00",96620,88694.41402529762,4208
"2019-11-26 13:30:00",98074,88787.48779962321,4024
"2019-11-26 13:40:00",99326,88883.6776275904,4661
"2019-11-26 13:50:00",100409,88981.44846993283,4887
"2019-11-26 14:00:00",100862,89080.78484426178,5043
"2019-11-26 14:10:00",101078,89182.61226851851,5435
"2019-11-26 14:20:00",101142,89285.10522073414,5488
"2019-11-26 14:30:00",100860,89390.11261541654,5717
"2019-11-26 14:40:00",100032,89495.1618165785,5973
"2019-11-26 14:50:00",98819,89600.15926535089,6170
"2019-11-26 15:00:00",97095,89705.41517443782,6148
"2019-11-26 15:10:00",94305,89805.27165611617,6255
"2019-11-26 15:20:00",92778,89899.74988162878,6373
"2019-11-26 15:30:00",90914,89993.94632313473,6661
"2019-11-26 15:40:00",88877,90086.57594108247,6749
"2019-11-26 15:50:00",87818,90176.91917989419,6020
"2019-11-26 16:00:00",86517,90264.89455986724,6367
"2019-11-26 16:10:00",84984,90350.70598636832,6531
"2019-11-26 16:20:00",83936,90434.564971301,6562
"2019-11-26 16:30:00",83152,90516.64405731161,7016
"2019-11-26 16:40:00",82459,90595.44756944444,7559
"2019-11-26 16:50:00",82464,90675.39234911033,7767
"2019-11-26 17:00:00",85742,90753.496751681,8488
"2019-11-26 17:10:00",89529,90811.47585978836,9175
"2019-11-26 17:20:00",91567,90846.35883520074,9511
"2019-11-26 17:30:00",93204,90870.08076144812,9549
"2019-11-26 17:40:00",94610,90886.13512731485,10126
"2019-11-26 17:50:00",95760,90895.30320945948,9717
"2019-11-26 18:00:00",96687,90899.49010982318,9799
"2019-11-26 18:10:00",97428,90898.26160269132,10052
"2019-11-26 18:20:00",98279,90894.70803158071,9886
"2019-11-26 18:30:00",98599,90886.79245977978,9692
"2019-11-26 18:40:00",99112,90878.94673465454,9768
"2019-11-26 18:50:00",99275,90869.90842350348,9704
"2019-11-26 19:00:00",99452,90861.79599692363,9911
"2019-11-26 19:10:00",99321,90853.12611331572,9973
"2019-11-26 19:20:00",99527,90847.17234676935,9285
"2019-11-26 19:30:00",99260,90841.9167654626,10082
"2019-11-26 19:40:00",98881,90838.82268242948,10213
"2019-11-26 19:50:00",98663,90839.32102364757,10938
"2019-11-26 20:00:00",98502,90839.80786072533,9982
"2019-11-26 20:10:00",98003,90839.49821687938,10925
"2019-11-26 20:20:00",97545,90837.06746031748,11095
"2019-11-26 20:30:00",96906,90834.15524753754,11208
"2019-11-26 20:40:00",96184,90830.73878187465,11632
"2019-11-26 20:50:00",95597,90828.20348575039,11829
"2019-11-26 21:00:00",94666,90825.59186330785,11385
"2019-11-26 21:10:00",93151,90819.84549626384,11201
"2019-11-26 21:20:00",92214,90814.38180261932,11032
"2019-11-26 21:30:00",91290,90806.38156541457,11166
"2019-11-26 21:40:00",90444,90797.20025903883,11202
"2019-11-26 21:50:00",89345,90784.73020616491,11144
