"DateTime","Players","Players Trend","Twitch Viewers"
"2019-11-26 11:40:00",404700,390731.40972222213,27073
"2019-11-26 11:50:00",413077,391557.818136769,24332
"2019-11-26 12:00:00",421558,392412.59647891193,26527
"2019-11-26 12:10:00",431502,393311.08433817845,26977
"2019-11-26 12:20:00",442651,394237.4962669308,34177
"2019-11-26 12:30:00",452849,395179.8928256798,32781
"2019-11-26 12:40:00",463321,396138.56165246887,35034
"2019-11-26 12:50:00",473238,397109.089857945,34763
"2019-11-26 13:00:00",480296,398093.2910472413,32741
"2019-11-26 13:10:00",487164,399099.6251624268,34347
"2019-11-26 13:20:00",494249,400123.92556761845,36031
"2019-11-26 13:30:00",501125,401166.6512911571,37289
"2019-11-26 13:40:00",507495,402216.81616254966,30450
"2019-11-26 13:50:00",512172,403261.2027821038,33454
"2019-11-26 14:00:00",515453,404298.7182372535,43967
"2019-11-26 14:10:00",516249,405316.0944485738,45706
"2019-11-26 14:20:00",518377,406339.03888289694,47639
"2019-11-26 14:30:00",518202,407347.49421869835,49043
"2019-11-26 14:40:00",517664,408342.8122964228,49784
"2019-11-26 14:50:00",515659,409310.67611496523,49161
"2019-11-26 15:00:00",512588,410250.26293517073,53998
"2019-11-26 15:10:00",507483,411150.81612958125,54727
"2019-11-26 15:20:00",503498,412023.3929938525,55078
"2019-11-26 15:30:00",498139,412870.17712806957,58018
"2019-11-26 15:40:00",492641,413693.8791088537,64641
"2019-11-26 15:50:00",488915,414490.06396279635,59628
"2019-11-26 16:00:00",482042,415246.7596033844,59862
"2019-11-26 16:10:00",477244,415990.2260134977,60324
"2019-11-26 16:20:00",471921,416691.81122697453,62818
"2019-11-26 16:30:00",467871,417365.17636824143,65359
"2019-11-26 16:40:00",462560,418013.8145645287,64128
"2019-11-26 16:50:00",458081,418644.8144615131,65319
"2019-11-26 17:00:00",453776,419263.4750715781,68211
"2019-11-26 17:10:00",448399,419861.79986332176,72486
"2019-11-26 17:20:00",443452,420440.3504778424,62632
"2019-11-26 17:30:00",437563,421011.74207135785,56348
"2019-11-26 17:40:00",424554,421569.2753774588,62071
"2019-11-26 17:50:00",421765,422172.80327056505,67209
"2019-11-26 18:00:00",362974,422702.44636148604,82961
"2019-11-26 18:10:00",359424,423505.9058501267,107841
"2019-11-26 18:20:00",378975,424332.8662922922,122040
"2019-11-26 18:30:00",402855,425023.6342677805,135529
"2019-11-26 18:40:00",417849,425535.9868036829,148549
"2019-11-26 18:50:00",447136,425954.17222272285,158630
"2019-11-26 19:00:00",472296,426140.16274777014,164303
"2019-11-26 19:10:00",488294,426148.1415904206,169531
"2019-11-26 19:20:00",495322,426028.8595631339,177287
"2019-11-26 19:30:00",498923,425841.4157099989,179368
"2019-11-26 19:40:00",499498,425603.9739421455,181311
"2019-11-26 19:50:00",496017,425323.6156722828,183719
"2019-11-26 20:00:00",490604,425022.5890425711,180449
"2019-11-26 20:10:00",482604,424700.7435018593,184430
"2019-11-26 20:20:00",473968,424375.99592348107,178729
"2019-11-26 20:30:00",463300,424041.02250119287,178451
"2019-11-26 20:40:00",453614,423716.2976326695,178001
"2019-11-26 20:50:00",442739,423392.4077587427,177593
"2019-11-26 21:00:00",433694,423076.2862472396,173167
"2019-11-26 21:10:00",421400,422750.98457939835,171373
"2019-11-26 21:20:00",410043,422436.50492110546,171716
"2019-11-26 21:30:00",399840,422131.3990694856,155600
"2019-11-26 21:40:00",370297,421804.54709831456,152729
"2019-11-26 21:50:00",359327,421604.46399074985,150639
"2019-11-26 22:00:00",348806,421409.27333364787,146868
"2019-11-26 22:10:00",339734,421221.2412420162,142319
"2019-11-26 22:20:00",334749,421038.6174430128,140315
"2019-11-26 22:30:00",331677,420838.10551501124,131306
"2019-11-26 22:40:00",327939,420569.5313913994,129427
"2019-11-26 22:50:00",307731,420265.37012961763,123994
"2019-11-26 23:00:00",301305,420047.9668969611,123558
"2019-11-26 23:10:00",294649,419825.1783881573,115824
"2019-11-26 23:20:00",290678,419607.1010107971,115114
"2019-11-26 23:30:00",288663,419383.6248210549,114062
"2019-11-26 23:40:00",288091,419140.5602962794,112859
"2019-11-26 23:50:00",286190,418842.8444807542,108738
"2019-11-27 00:00:00",283918,418542.30729875556,106017
"2019-11-27 00:10:00",282254,418144.42192852043,103782
"2019-11-27 00:20:00",263891,417713.500744919,98128
"2019-11-27 00:30:00",261404,417383.19099048723,90534
"2019-11-27 00:40:00",262673,417068.5934334484,84084
"2019-11-27 00:50:00",265435,416766.7674306243,78161
"2019-11-27 01:00:00",269496,416467.74137928383,63822
"2019-11-27 01:10:00",274570,416165.40024736704,62503
"2019-11-27 01:20:00",278612,415855.49855442566,59980
"2019-11-27 01:30:00",280558,415542.81909245346,60208
"2019-11-27 01:40:00",271662,415225.60429711017,63766
"2019-11-27 01:50:00",274430,414984.3220895659,52127
"2019-11-27 02:00:00",277167,414746.7399066922,48825
"2019-11-27 02:10:00",280423,414509.7107997716,50152
"2019-11-27 02:20:00",286545,414276.1436477134,49340
"2019-11-27 02:30:00",290055,414025.5588481443,48215
"2019-11-27 02:40:00",280870,413760.2882264744,48179
"2019-11-27 02:50:00",284075,413569.4118369457,48484
"2019-11-27 03:00:00",287254,413373.3923003896,45754
"2019-11-27 03:10:00",290552,413168.90195627057,44024
"2019-11-27 03:20:00",296139,412956.31176799146,43773
"2019-11-27 03:30:00",301226,412717.14382708387,44167
"2019-11-27 03:40:00",304128,412451.45399678935,43232
"2019-11-27 03:50:00",307783,412176.15485123673,42949
"2019-11-27 04:00:00",311509,411889.83864975313,44020
"2019-11-27 04:10:00",315027,411590.379612928,42766
"2019-11-27 04:20:00",320820,411163.56482437754,42428
"2019-11-27 04:30:00",325178,410732.46500936005,40634
"2019-11-27 04:40:00",326900,410287.1593191614,41190
"2019-11-27 04:50:00",310246,409834.47169385775,40911
"2019-11-27 05:00:00",308735,409519.1097456226,41782
"2019-11-27 05:10:00",310633,409250.56122569815,38113
"2019-11-27 05:20:00",314150,409001.9290291195,37743
"2019-11-27 05:30:00",319183,408761.75547847146,36551
"2019-11-27 05:40:00",320737,408513.9773539798,37613
"2019-11-27 05:50:00",324918,408278.3338453914,37639
"2019-11-27 06:00:00",328242,408041.1511025395,38763
"2019-11-27 06:10:00",331046,407796.20106934407,38078
"2019-11-27 06:20:00",334479,407544.3425439481,37595
"2019-11-27 06:30:00",338165,407278.7504680101,39004
"2019-11-27 06:40:00",341140,407007.35510334524,41820
"2019-11-27 06:50:00",343798,406743.7760557283,42774
"2019-11-27 07:00:00",347030,406463.6766875895,40171
"2019-11-27 07:10:00",350236,406183.33197083126,40915
"2019-11-27 07:20:00",353916,405822.17087129696,41266
"2019-11-27 07:30:00",358669,405456.6815328708,42784
"2019-11-27 07:40:00",362362,405093.8099283901,43064
"2019-11-27 07:50:00",366205,404746.9235514251,44028
"2019-11-27 08:00:00",369358,404426.7098439586,43026
"2019-11-27 08:10:00",372371,404131.6555907229,41471
