"DateTime","Players","Players Trend","Twitch Viewers"
"2019-11-26 11:50:00",67310,54216.486111111095,14873
"2019-11-26 12:00:00",68739,54234.18750688931,14809
"2019-11-26 12:10:00",70284,54254.8446318342,15368
"2019-11-26 12:20:00",71956,54277.33701223544,15794
"2019-11-26 12:30:00",73500,54301.89137455907,16188
"2019-11-26 12:40:00",75356,54329.8790027006,17021
"2019-11-26 12:50:00",77093,54359.86784887565,18866
"2019-11-26 13:00:00",78480,54390.86733217592,18746
"2019-11-26 13:10:00",80262,54425.28824955908,19755
"2019-11-26 13:20:00",82085,54461.61235119049,20902
"2019-11-26 13:30:00",83681,54501.825641083466,21484
"2019-11-26 13:40:00",84921,54542.77927276236,22842
"2019-11-26 13:50:00",85699,54584.52383496135,23389
"2019-11-26 14:00:00",86108,54626.80890081728,24113
"2019-11-26 14:10:00",86292,54669.52040895062,24507
"2019-11-26 14:20:00",86369,54712.954654431225,25035
"2019-11-26 14:30:00",85898,54755.54741155722,26652
"2019-11-26 14:40:00",85058,54798.12078373018,29500
"2019-11-26 14:50:00",84061,54838.607312552216,29561
"2019-11-26 15:00:00",82662,54880.706743276016,32845
"2019-11-26 15:10:00",79904,54919.97491102922,32433
"2019-11-26 15:20:00",78601,54957.28100010521,35153
"2019-11-26 15:30:00",77260,54992.19615838988,37536
"2019-11-26 15:40:00",75332,55022.16389026674,41074
"2019-11-26 15:50:00",73762,55051.27488095238,43323
"2019-11-26 16:00:00",73063,55083.73849587911,45611
"2019-11-26 16:10:00",71299,55109.458374669295,44655
"2019-11-26 16:20:00",70212,55134.31666312357,47482
"2019-11-26 16:30:00",69625,55158.364383780325,49614
"2019-11-26 16:40:00",69071,55182.281378141524,51843
"2019-11-26 16:50:00",68526,55205.04422949735,53684
"2019-11-26 17:00:00",67803,55225.763654651666,53921
"2019-11-26 17:10:00",67349,55244.446598925766,56544
"2019-11-26 17:20:00",66929,55263.73053561702,59059
"2019-11-26 17:30:00",66398,55281.734256503514,62597
"2019-11-26 17:40:00",66233,55301.68889853393,65129
"2019-11-26 17:50:00",66085,55322.12530164092,69710
"2019-11-26 18:00:00",65915,55343.72346302677,71231
"2019-11-26 18:10:00",65343,55365.85076651743,70837
"2019-11-26 18:20:00",64809,55387.926244212955,72736
"2019-11-26 18:30:00",64360,55411.964563975984,77097
"2019-11-26 18:40:00",64036,55436.667022943424,75201
"2019-11-26 18:50:00",64033,55463.666188899646,77356
"2019-11-26 19:00:00",63718,55488.72400530602,79538
"2019-11-26 19:10:00",62732,55512.42342923279,79073
"2019-11-26 19:20:00",62062,55538.11672381814,79798
"2019-11-26 19:30:00",61164,55564.089339069935,80720
"2019-11-26 19:40:00",60372,55591.53901427468,83000
"2019-11-26 19:50:00",59619,55618.67074290033,84501
"2019-11-26 20:00:00",58303,55641.92270061728,85070
"2019-11-26 20:10:00",56641,55664.58880832424,93503
"2019-11-26 20:20:00",55422,55685.90214024979,95829
