"DateTime","Players","Players Trend","Twitch Viewers"
"2019-11-26 11:40:00",511272,276916.9513888889,16485
"2019-11-26 11:50:00",529111,277211.6311108355,18805
"2019-11-26 12:00:00",546584,277530.76419201936,19957
"2019-11-26 12:10:00",563779,277864.60856894834,20771
"2019-11-26 12:20:00",579305,278211.2613756613,23179
"2019-11-26 12:30:00",593465,278574.5367201278,23920
"2019-11-26 12:40:00",605653,278948.2119059429,23742
"2019-11-26 12:50:00",615675,279333.61299189815,25556
"2019-11-26 13:00:00",622677,279728.39291225746,26500
"2019-11-26 13:10:00",628872,280144.6087053572,28264
"2019-11-26 13:20:00",633690,280574.0273230821,31563
"2019-11-26 13:30:00",635004,281007.7364969136,31863
"2019-11-26 13:40:00",634983,281441.05027090973,32723
"2019-11-26 13:50:00",632298,281868.4933754173,35267
"2019-11-26 14:00:00",624982,282284.95177469146,34730
"2019-11-26 14:10:00",613647,282691.2118468916,32202
"2019-11-26 14:20:00",600449,283084.19718072424,30435
"2019-11-26 14:30:00",584584,283465.1480585869,31284
"2019-11-26 14:40:00",567368,283833.0614426692,28491
"2019-11-26 14:50:00",547701,284178.99412477954,28474
"2019-11-26 15:00:00",525169,284506.36672886746,29923
"2019-11-26 15:10:00",500808,284812.6505681818,29890
"2019-11-26 15:20:00",478055,285095.8491194837,26823
"2019-11-26 15:30:00",455548,285354.06427055784,25898
"2019-11-26 15:40:00",433463,285584.916984127,27144
"2019-11-26 15:50:00",412056,285792.5061924477,26923
"2019-11-26 16:00:00",390340,285970.4869148663,27184
"2019-11-26 16:10:00",368467,286124.0021169927,26187
"2019-11-26 16:20:00",350624,286249.21160600265,27304
"2019-11-26 16:30:00",334977,286361.14168733463,27249
"2019-11-26 16:40:00",321796,286461.0218854007,27015
"2019-11-26 16:50:00",309985,286544.7223703428,27537
"2019-11-26 17:00:00",298596,286609.96515752765,27500
"2019-11-26 17:10:00",288169,286665.193931392,28291
"2019-11-26 17:20:00",278958,286707.67498700856,29134
"2019-11-26 17:30:00",270193,286741.25757137337,27665
"2019-11-26 17:40:00",262207,286769.24149372586,29149
"2019-11-26 17:50:00",255047,286790.2398596317,26494
"2019-11-26 18:00:00",248027,286804.210925841,26914
"2019-11-26 18:10:00",240747,286807.88886408723,24889
"2019-11-26 18:20:00",234932,286810.8652984793,25821
"2019-11-26 18:30:00",229365,286811.2426569586,26414
"2019-11-26 18:40:00",224665,286808.5900691752,26219
"2019-11-26 18:50:00",220169,286802.47163537657,27568
"2019-11-26 19:00:00",215333,286791.1621472662,27484
"2019-11-26 19:10:00",210473,286775.6357806029,28645
"2019-11-26 19:20:00",205334,286752.4322758358,30581
"2019-11-26 19:30:00",200661,286724.83214147924,30292
"2019-11-26 19:40:00",196683,286695.4341053881,30087
"2019-11-26 19:50:00",192170,286658.3594984567,30742
"2019-11-26 20:00:00",187165,286616.2932114975,29654
"2019-11-26 20:10:00",182361,286571.05048712855,28248
"2019-11-26 20:20:00",177725,286519.81703915837,29880
"2019-11-26 20:30:00",172867,286465.72074101627,29736
"2019-11-26 20:40:00",168371,286409.36780753965,29539
"2019-11-26 20:50:00",163913,286348.3625706648,28872
"2019-11-26 21:00:00",159333,286284.35434941517,28227
"2019-11-26 21:10:00",154561,286213.55706146796,25599
"2019-11-26 21:20:00",149998,286136.49765739427,25946
"2019-11-26 21:30:00",145139,286052.28730158723,28281
"2019-11-26 21:40:00",140675,285959.96240729897,27915
"2019-11-26 21:50:00",136269,285861.896509821,27802
"2019-11-26 22:00:00",131681,285757.90534454514,29352
"2019-11-26 22:10:00",126893,285647.70865885407,21931
"2019-11-26 22:20:00",122504,285532.28122201853,20751
"2019-11-26 22:30:00",117779,285409.64913332224,19046
"2019-11-26 22:40:00",112947,285282.9166956635,18218
"2019-11-26 22:50:00",108562,285153.74515882734,17933
"2019-11-26 23:00:00",103060,285017.1457314909,14679
"2019-11-26 23:10:00",97036,284872.35616260377,12230
"2019-11-26 23:20:00",93446,284721.37035950256,12295
"2019-11-26 23:30:00",90168,284566.34983327804,11579
"2019-11-26 23:40:00",87542,284410.7031419873,11793
"2019-11-26 23:50:00",85263,284252.68487125513,11757
"2019-11-27 00:00:00",83397,284095.9832842812,11268
"2019-11-27 00:10:00",81470,283939.28356807807,10687
"2019-11-27 00:20:00",81335,283792.6447374824,10853
"2019-11-27 00:30:00",81307,283657.17399320385,10061
"2019-11-27 00:40:00",51975,283508.6319967684,9534
"2019-11-27 00:50:00",28060,283544.49948054453,7727
"2019-11-27 01:00:00",16174,283744.8305163629,4579
"2019-11-27 01:10:00",12954,284041.25810739683,3542
"2019-11-27 01:20:00",12459,284384.1051248645,3162
"2019-11-27 01:30:00",12214,284759.7812726364,1867
"2019-11-27 01:40:00",12058,285169.6907543573,1925
"2019-11-27 01:50:00",12083,285613.13428281114,1836
"2019-11-27 02:00:00",12307,286086.6894537189,1845
"2019-11-27 02:10:00",12368,286599.8107977092,2044
"2019-11-27 02:20:00",12411,287153.8700935586,1842
"2019-11-27 02:30:00",12105,287750.40783730155,1662
"2019-11-27 02:40:00",12171,288389.9363185177,1956
"2019-11-27 02:50:00",12381,289067.85315603187,2059
"2019-11-27 03:00:00",12577,289782.5005307006,2093
"2019-11-27 03:10:00",12705,290528.3288611322,1913
"2019-11-27 03:20:00",12970,291301.8643810046,1928
"2019-11-27 03:30:00",13128,292088.8230854552,1772
"2019-11-27 03:40:00",13715,292887.1764713904,1928
"2019-11-27 03:50:00",14522,293700.0675785608,2013
"2019-11-27 04:00:00",15953,294532.0701459035,1900
"2019-11-27 04:10:00",41245,295408.39571676584,1970
"2019-11-27 04:20:00",69912,296194.5994022517,2737
"2019-11-27 04:30:00",98870,296881.33620942594,3474
"2019-11-27 04:40:00",126233,297467.6324882333,5240
